schoolId,schoolname,country,city,careersPageUrl,tesEmployerSlug,tesOrganizationId
FLIS0161,British School Manila,Philippines,Manila,https://www.britishschoolmanila.org/careers,the-british-school-manila-1057671,1057671
FLIS0162,International School Manila,Philippines,Manila,https://www.ismanila.org/careers,,
FLIS0163,British School in Tokyo,Japan,Tokyo,https://www.bst.ac.jp/careers,the-british-school-in-tokyo-1057325,1057325
FLIS0164,Malvern College Tokyo,Japan,Tokyo,https://www.malverncollegetokyo.jp/careers,malvern-college-tokyo-1262424,1262424
FLIS0165,Rugby School Japan,Japan,Chiba,https://www.rugbyschooljapan.ed.jp/careers,rugby-school-japan-1221682,1221682
FLIS0166,Harrow International School Appi,Japan,Appi Kogen,https://www.harrowappi.jp/careers/,harrow-international-school-appi-1219867,1219867
FLIS0167,St. Maur International School,Japan,Yokohama,https://www.stmaur.ac.jp/employment,,
FLIS0168,Yokohama International School,Japan,Yokohama,https://www.yis.ac.jp/careers,yokohama-international-school-1058204,1058204
FLIS0169,Canadian Academy Kobe,Japan,Kobe,https://www.canacademy.ac.jp/employment,,
FLIS0170,Seoul Foreign School,S. Korea,Seoul,https://www.seoulforeign.org/careers,seoul-foreign-school-1055417,1055417
FLIS0171,Chadwick International,S. Korea,Songdo,https://www.chadwickinternational.org/employment,,
FLIS0172,Branksome Hall Asia,S. Korea,Jeju,https://www.branksome.asia/careers,,
FLIS0173,North London Collegiate School Jeju,S. Korea,Jeju,https://www.nlcsjeju.co.kr/careers,,
FLIS0174,Concordia International School Shanghai,China,Shanghai,https://www.concordiashanghai.org/employment,,
FLIS0175,International School Beijing,China,Beijing,https://www.isb.bj.edu.cn/careers,,
FLIS0176,Western Academy of Beijing,China,Beijing,https://www.wab.edu/careers,,
FLIS0177,British International School Warsaw,Poland,Warsaw,https://www.nordangliaeducation.com/bis-warsaw/careers,the-british-school-warsaw-1057760,1057760
FLIS0178,Akademeia High School,Poland,Warsaw,https://akademeia.edu.pl/en/careers/,akademeia-high-school-1164028,1164028
FLIS0179,International School of Bucharest,Romania,Bucharest,https://www.isb.ro/careers/,international-school-of-bucharest-1057074,1057074
