schoolId,schoolname,city,country,officialDomain,careersPageUrl,tesEmployerSlug,tesOrganizationId,groupDomain,aliases
FLIS0078,College du Leman,Geneva,Switzerland,nordangliaeducation.com/cdl-geneva,https://www.nordangliaeducation.com/cdl-geneva/careers,nord-anglia-education-1065805,1065805,nordangliaeducation.com,"Collège du Léman, CDL Geneva"
FLIS0079,International School of Brussels,Brussels,Belgium,isb.be,http://www.isb.be/careers,international-school-of-brussels-1055958,1055958,,"ISB, IS Brussels"
